filename,artist,title,acoustid_id,yt_query,yt_id,yt_channel,yt_title,duration,audio_format,audio_codec,audio_bitrate,score,yt_channel_id,yt_views,duplicated,sim_artist,sim_artist_title,sim_title,sim_filename,pass,check,1403
22_7 -  人格崩壊.mp3,22/7,人格崩壊,,22 7 人格崩壊,uqyM8NHS4dU,22/7 OFFICIAL YouTube CHANNEL,Jinkakuhoukai,,webm,opus,130.267,-69,@nananiji-myu2630,3933.0,False,0.0,90.88888888888889,93.11111111111111,76.42767295597484,True,1.0,
3L - タイニーリトル・アジアンタム.mp3,3L,タイニーリトル・アジアンタム,,3L タイニーリトル・アジアンタム,rB7XFQgJHBI,Shibayan Records,Tiny Little Adiantum,,webm,opus,147.105,100,@aloox1,113189.0,False,47.0,45.12820512820513,92.82051282051282,78.09018567639258,False,1.0,
4s4ki - ALICE feat. Smrtdeath （44 seconds）.mp3,4s4ki,4s4ki - ALICE feat. Smrtdeath （44 seconds）,,,Y3FUv0mz2mw,4s4ki,4s4ki - ALICE feat. Smrtdeath （Offical Music Video）,44.0,webm,opus,145.07,40,@4s4ki46,12016.0,False,100.0,91.06382978723404,100.0,98.86792452830188,True,1.0,
4s4ki - gemstone feat. Puppet （44 seconds）.mp3,4s4ki,4s4ki - gemstone feat. Puppet （44 seconds）,,,DWXJd1_ZQkk,4s4ki,4s4ki - gemstone feat. Puppet（Official Music Video）,44.0,webm,opus,130.851,40,@4s4ki46,13109.0,False,100.0,91.06382978723404,100.0,98.86792452830188,True,1.0,
4s4ki - おまえのドリームランド（Official Music Video）.mp3,4s4ki,4s4ki - おまえのドリームランド,,4s4ki 4s4ki おまえのドリームランド,-HH2VwRmVqc,4s4ki,4s4ki - おまえのドリームランド（Official Music Video）,,webm,opus,132.738,250,@SAD15mg,1354011.0,False,100.0,90.9433962264151,95.28301886792453,98.98305084745763,True,1.0,
4s4ki - ずっとお前を殺したかった （Official Music Video）.mp3,4s4ki,4s4ki - ずっとお前を殺したかった,,4s4ki 4s4ki ずっとお前を殺したかった,Js2wKhyvCnM,4s4ki,4s4ki - ずっとお前を殺したかった （Official Music Video）,,webm,opus,142.272,325,@4s4ki46,86809.0,False,100.0,90.76923076923077,95.84615384615385,99.15492957746478,True,1.0,
4s4ki - 幸福論 （Official Music Video）.mp3,4s4ki,4s4ki - 幸福論,,,HXavlKMuK_E,4s4ki,4s4ki - 幸福論 （Official Music Video）,145.0,webm,opus,137.282,95,@4s4ki46,64711.0,False,100.0,91.06382978723404,94.25531914893617,98.86792452830188,True,1.0,
4s4ki - おまえのドリームランド.mp3,4s4ki,おまえのドリームランド,,4s4ki おまえのドリームランド,-HH2VwRmVqc,4s4ki,4s4ki - おまえのドリームランド（Official Music Video）,,webm,opus,132.738,250,@SAD15mg,1354009.0,True,100.0,90.9433962264151,93.58490566037736,88.99854862119012,True,1.0,
5 Seconds of Summer -  Amnesia.mp3,5 Seconds of Summer,Amnesia,,5 Seconds of Summer Amnesia,DCCJCILiX3o,5SOS,5 Seconds of Summer - Amnesia (Official Video),,webm,opus,136.574,239,@5sosvevo,207731211.0,False,52.63157894736842,94.04255319148936,91.48936170212765,88.78143133462282,True,1.0,
5 Seconds of Summer -  Heartbreak Girl.mp3,5 Seconds of Summer,Heartbreak Girl,,,RLLEB4Ac3Hg,5SOS,5 Seconds of Summer - Heartbreak Girl,199.0,m4a,mp4a.40.2,129.501,34,@5SOS,69592380.0,False,52.63157894736842,95.13513513513514,94.05405405405405,95.74938574938577,True,1.0,
5 Seconds of Summer -  Lie To Me (Acoustic).mp3,5 Seconds of Summer,Lie To Me (Acoustic),,,du7paNLQN9M,5SOS,5 Seconds of Summer - Lie To Me (Acoustic),185.0,webm,opus,131.322,40,@5sosvevo,44501832.0,False,52.63157894736842,96.12903225806451,58.06451612903226,93.09677419354838,True,1.0,
5 Seconds of Summer -  She Looks So Perfect.mp3,5 Seconds of Summer,She Looks So Perfect,,,X2BYmmTI04I,5SOS,5 Seconds of Summer - She Looks So Perfect,219.0,m4a,mp4a.40.2,129.499,34,@5sosvevo,324193539.0,False,52.63157894736842,94.52380952380952,94.76190476190476,96.22448979591837,True,1.0,
5 Seconds of Summer -  She's Kinda Hot.mp3,5 Seconds of Summer,She's Kinda Hot,,,WFz1gCZSmdE,5SOS,5 Seconds of Summer - She's Kinda Hot (Official Video),246.0,m4a,mp4a.40.2,129.497,44,@5sosvevo,77207039.0,False,52.63157894736842,93.45454545454545,92.72727272727272,90.82926829268293,True,1.0,
5 Seconds of Summer -  Try Hard.mp3,5 Seconds of Summer,Try Hard,,,y7MaaEjsRB4,5SOS,5 Seconds of Summer - Try Hard,221.0,m4a,mp4a.40.2,129.502,34,@5SOS,58985887.0,False,52.63157894736842,96.33333333333334,92.66666666666666,94.83783783783784,True,1.0,
5 Seconds of Summer -  Youngblood.mp3,5 Seconds of Summer,Youngblood,,5 Seconds of Summer Youngblood,-RJSbO8UZVY,5SOS,5 Seconds of Summer - Youngblood (Official Video),,webm,opus,133.563,239,@5sosvevo,251495641.0,False,52.63157894736842,93.8,92.0,89.64999999999999,True,1.0,
6ix9ine -  BILLY.mp3,6ix9ine,BILLY,,,LJjsm6CVsG8,WORLDSTARHIPHOP,"6IX9INE ""Billy"" (WSHH Exclusive - Official Music Video)",127.0,m4a,mp4a.40.2,129.543,65,@worldstarhiphop,464537204.0,False,15.77777777777778,91.25,90.89285714285714,69.21052631578948,True,1.0,
Nina77「サヨナラ夜風」MV.mp3,77ちゃんねる,Nina77「サヨナラ夜風」MV,,,sv62wyZDG8c,Nina77公式,サヨナラ夜風-Nina77(Official Music Video),298.0,webm,opus,139.444,55,@Nina77,457320.0,False,91.33333333333333,90.43478260869566,68.48309178743962,61.24467178175618,True,1.0,
Nina77「一人ぼっちの革命」MV.mp3,77ちゃんねる,Nina77「一人ぼっちの革命」MV,,77ちゃんねる Nina77 一人ぼっちの革命 MV,2algmUW4A1s,Nina77公式,一人ぼっちの革命-Nina77(Official Music Video),,webm,opus,132.253,233,@Nina77,903803.0,False,91.33333333333333,90.37037037037037,76.2112932604736,70.18242122719735,True,1.0,
Nina77「強がってくだらない」MV.mp3,77ちゃんねる,Nina77「強がってくだらない」MV,,,FLmlLrBERaA,Nina77公式,強がってくだらない-Nina77(Official Music Video),209.0,webm,opus,132.134,55,@Nina77,254896.0,False,91.33333333333333,90.3921568627451,73.81818181818183,67.36740597878494,True,1.0,
Nina77「最終的に曖昧な僕らは。」MV.mp3,77ちゃんねる,Nina77「最終的に曖昧な僕らは。」MV,,,u0fChDKLJjA,Nina77公式,最終的に曖昧な僕らは。-Nina77(Official Music Video),205.0,webm,opus,131.59,55,@Nina77,295373.0,False,91.33333333333333,90.30303030303031,82.52406417112299,77.8021978021978,True,1.0,
A Static Lullaby -  Toxic.mp3,A Static Lullaby,Toxic,,A Static Lullaby Toxic,4xwXOj55nIY,Fearless Records,"A Static Lullaby - ""Toxic"" (Britney Spears cover)",,m4a,mp4a.40.2,129.502,208,@fearlessrecords,11070214.0,False,31.57894736842105,93.19999999999999,91.0,82.9310344827586,True,1.0,
WEAVER _くちづけDiamond_ Music Video _ - やまじょ- WEAVER @WEAVER_STAFF.mp3,A-Sketch MUSIC LABEL,"WEAVER ""くちづけDiamond"" Music Video | #やまじょ#WEAVER @WEAVER_STAFF",,,lugIPQPGwgI,A-Sketch MUSIC LABEL,WEAVER - くちづけDiamond (Music Video),240.0,webm,opus,131.404,85,@a-sketch,21567628.0,False,100.0,43.31972789115646,88.82113821138212,88.28048780487805,True,1.0,
Kizuna AI × 花譜 - ラブしい (Prod. 川谷絵音)【Official Music Video】.mp3,A.I.Channel,Kizuna AI × 花譜 - ラブしい (Prod. 川谷絵音,,A I Channel Kizuna AI 花譜 ラブしい Prod 川谷絵音,u4PUwnItinY,KizunaAI - A.I.Channel,Kizuna AI × 花譜 - ラブしい (Prod. 川谷絵音)【Official Music Video】,,webm,opus,129.988,325,@AIChannel,1896318.0,False,92.6923076923077,64.8671096345515,96.86046511627907,99.34782608695653,True,1.0,
A.I.Channel - うっせぇわ.mp3,A.I.Channel,うっせぇわ,,A I Channel うっせぇわ,6iYKlBSQu1g,KizunaAI - A.I.Channel,うっせぇわ - Ado/covered by キズナアイ（ブラックアイ）【歌ってみた】,,m4a,mp4a.40.2,129.521,245,@AIChannel,3724577.0,False,92.6923076923077,52.02558635394455,91.04477611940298,41.60902803057881,True,1.0,
うっせぇわ - Ado_covered by キズナアイ（ブラックアイ）【歌ってみた】.mp3,A.I.Channel,うっせぇわ - Ado/covered by キズナアイ（ブラックアイ）【歌ってみた】,,A I Channel うっせぇわ Ado covered by キズナアイ ブラックアイ 【歌ってみた】,6iYKlBSQu1g,KizunaAI - A.I.Channel,うっせぇわ - Ado/covered by キズナアイ（ブラックアイ）【歌ってみた】,,m4a,mp4a.40.2,129.521,345,@AIChannel,3724642.0,True,92.6923076923077,52.02558635394455,100.0,97.69781230832142,True,1.0,
ABSOLUTE CASTAWAY -  青いカナリヤ-Acoustic ver.-.mp3,ABSOLUTE CASTAWAY,青いカナリヤ-Acoustic ver.-,,ABSOLUTE CASTAWAY 青いカナリヤ Acoustic ver,Vh5cTLENdWg,Isanomi,Ricerca - 青いカナリヤ-Acoustic ver-,,webm,opus,147.954,236,@TatsuyaIsanomi,3110568.0,False,34.22459893048129,44.45820433436532,92.74238227146816,81.30671506352087,False,1.0,
ABSOLUTE CASTAWAY - メロウ.mp3,ABSOLUTE CASTAWAY,メロウ,,ABSOLUTE CASTAWAY メロウ,gLh_xOyhG84,MoonForst MAD World's 么洞八洞p,【翻譯】[ABSOLUTE CASTAWAY] 金平糖レトロチカ -メロウ【中文歌詞付】,,webm,opus,133.638,162,@MoonForst,276767.0,False,33.4313725490196,91.91011235955055,90.56179775280899,67.27176966292134,True,1.0,
ABSOLUTE CASTAWAY - 待宵姫.mp3,ABSOLUTE CASTAWAY,待宵姫,,ABSOLUTE CASTAWAY 待宵姫,GLhZpQwvg8c,Shion (foregroundnoises),【C84】ABSOLUTE CASTAWAY - 待宵姫,,webm,opus,133.516,155,@ForegroundNoises,916486.0,False,27.65714285714285,94.04761904761905,93.0952380952381,91.45431145431145,True,1.0,
AC_DC -  Back in Black.mp3,AC/DC,Back in Black,,AC DC Back in Black,pAgnJDJN4VA,AC/DC,AC/DC - Back In Black (Official 4K Video),,m4a,mp4a.40.2,129.494,370,@acdcVEVO,1117453846.0,False,100.0,91.19047619047619,93.0952380952381,81.2,True,1.0,
AC_DC -  For Those About to Rock (We Salute You).mp3,AC/DC,For Those About to Rock (We Salute You),,AC DC For Those About to Rock We Salute You,nBM1-DwjA8I,AC/DC,AC/DC - For Those About to Rock (We Salute You) (Audio),,m4a,mp4a.40.2,129.489,266,@acdcVEVO,6681765.0,False,100.0,90.86206896551724,96.89655172413794,92.85057471264368,True,1.0,
AC_DC -  High Voltage.mp3,AC/DC,High Voltage,,AC DC High Voltage,Nnjh-zp6pP4,AC/DC,AC/DC - High Voltage (Official Video),,m4a,mp4a.40.2,129.497,339,@acdcVEVO,14219095.0,False,100.0,91.3157894736842,93.15789473684211,80.92105263157896,True,1.0,
AC_DC -  Highway to Hell.mp3,AC/DC,Highway to Hell,,AC DC Highway to Hell,l482T0yNkeo,AC/DC,AC/DC - Highway to Hell (Official Video),,m4a,mp4a.40.2,129.498,327,@acdcVEVO,383611644.0,False,100.0,91.21951219512195,93.65853658536585,82.89972899728997,True,1.0,
AC_DC -  Thunderstruck.mp3,AC/DC,Thunderstruck,,AC DC Thunderstruck,v2AC41dglnM,AC/DC,AC/DC - Thunderstruck (Official Video),,m4a,mp4a.40.2,129.493,370,@acdcVEVO,1559356738.0,False,100.0,91.28205128205128,93.33333333333333,81.63076923076923,True,1.0,
ADA Band - Pemain Cinta (1).mp3,ADA Band,Pemain Cinta,,ADA Band Pemain Cinta,nE756xSHzUQ,GP Records,Ada Band - Pemain Cinta (Official Lyric),271.0,m4a,mp4a.40.2,129.502,149,@adabandofficial,299328.0,False,98.88888888888889,91.53846153846153,92.3076923076923,81.81225554106909,True,1.0,
ADA Band -  Manusia Bodoh.mp3,ADA Band,Manusia Bodoh,,ADA Band Manusia Bodoh,JRmBXQWzVEg,GP Records,Ada Band - Manusia Bodoh (Official Music Video),,m4a,mp4a.40.2,129.493,220,@GPRecords,54522243.0,False,24.5,91.66666666666666,92.70833333333334,86.12351190476191,True,1.0,
ADA Band -  Pemain Cinta.mp3,ADA Band,Pemain Cinta,,ADA Band Pemain Cinta,nE756xSHzUQ,GP Records,Ada Band - Pemain Cinta (Official Lyric),242.0,webm,opus,131.406,119,@GPRecords,11761399.0,False,24.5,91.95121951219511,92.92682926829269,86.5040650406504,True,1.0,
ADA Band - Pemain Cinta.mp3,ADA Band,Pemain Cinta,,ADA Band Pemain Cinta,nE756xSHzUQ,GP Records,Ada Band - Pemain Cinta (Official Lyric),,webm,opus,131.406,175,@GPRecords,11100858.0,True,24.5,91.95121951219511,92.92682926829269,87.91532443626323,True,1.0,
AGNEZ MO -  Paralyzed.mp3,AGNEZ MO,Paralyzed,,AGNEZ MO Paralyzed,s7ZXms8QohI,AGNEZ MO,"Agnes Monica - ""Paralyzed"" HD official video",,webm,opus,130.796,305,@agnezmo,4432383.0,False,100.0,80.3409090909091,92.04545454545455,71.21212121212122,True,1.0,
AGNEZ MO -  Matahariku.mp3,AGNEZ MO,Matahariku,,AGNEZ MO Matahariku,n9B0sWBJ56g,Agnez MO,Agnez MO   Matahariku   Official Video,,webm,opus,139.066,225,@agnezmo4045,76779.0,False,100.0,92.10526315789474,92.63157894736842,87.82249742002065,True,1.0,
AGNEZ MO -  Karena Ku Sanggup.mp3,AGNEZ MO,Karena Ku Sanggup,,AGNEZ MO Karena Ku Sanggup,3kaaotHOWP8,Aquarius Musikindo,Agnes Monica - Karena Ku Sanggup | Official 4K Remastered Video,,webm,opus,136.809,275,@AquariusMusikindo,18931589.0,False,35.41666666666666,79.86111111111111,92.6984126984127,79.17460317460316,True,1.0,
AGNEZ MO -  Rindu.mp3,AGNEZ MO,Rindu,,AGNEZ MO Rindu,K6HRXGFB8iA,Aquarius Musikindo,Agnes Monica - Rindu | Official 4K Remastered Video,,webm,opus,138.637,275,@AquariusMusikindo,30158745.0,False,35.41666666666666,80.12254901960785,90.98039215686275,69.85507246376811,True,1.0,
AGNEZ MO -  Shake It Off.mp3,AGNEZ MO,Shake It Off,,AGNEZ MO Shake It Off,DUy_aVOVeww,Aquarius Musikindo,Agnes Monica - Shake It Off | Official Audio,,webm,opus,130.027,285,@AquariusMusikindo,174803.0,False,35.41666666666666,80.3409090909091,92.72727272727272,77.45454545454545,True,1.0,
AGNEZ MO -  Tak Ada Logika.mp3,AGNEZ MO,Tak Ada Logika,,AGNEZ MO Tak Ada Logika,plDMIAPF6GU,Aquarius Musikindo,Agnes Monica - Tak Ada Logika | Official 4K Remastered Video,,m4a,mp4a.40.2,129.5,245,@AquariusMusikindo,23159490.0,False,35.41666666666666,79.91666666666667,92.33333333333333,77.45833333333334,True,1.0,
AGNEZ MO -  Teruskanlah.mp3,AGNEZ MO,Teruskanlah,,AGNEZ MO Teruskanlah,BAudFtDzDLc,Aquarius Musikindo,Agnes Monica - Teruskanlah | Official Music Video,,webm,opus,132.509,275,@AquariusMusikindo,23740470.0,False,35.41666666666666,80.17857142857143,92.24489795918367,76.073187895848,True,1.0,
ALI PROJECT -  勇侠青春謳.mp3,ALI PROJECT,勇侠青春謳,,ALI PROJECT 勇侠青春謳,b2SxY0zYNRM,FlyingDog,ALI PROJECT「勇侠青春謳」Music Video,,m4a,mp4a.40.2,129.496,220,@flyingDOGch,1053257.0,False,36.81818181818182,92.24489795918367,94.28571428571428,89.13887506222001,True,1.0,
Asphodelus／Ceui.mp3,ALPHAto ZETAjapan,Asphodelus／Ceui,,,SwcM91hg9QU,えいとぅぜっと,Asphodelus／Ceui,291.0,webm,opus,130.8,45,@ALPHAtoZETAjapan,1135722.0,False,47.94117647058824,44.44444444444444,100.0,97.3913043478261,False,1.0,
奏愛カレンデュラ／Ceui.mp3,ALPHAto ZETAjapan,奏愛カレンデュラ／Ceui,,,fcFmWZEBzNU,えいとぅぜっと,奏愛カレンデュラ／Ceui,252.0,webm,opus,130.469,45,@ALPHAtoZETAjapan,778463.0,False,47.94117647058824,33.37931034482759,100.0,98.06451612903226,False,1.0,
ALTIMA -  Burst The Gravity.mp3,ALTIMA,Burst The Gravity,,ALTIMA Burst The Gravity,Qn8dJA3WM3M,ALTIMA - Topic,Burst The Gravity,,m4a,mp4a.40.2,129.553,345,,3270734.0,False,94.28571428571428,34.01069518716578,100.0,95.15151515151516,True,1.0,
ANI feat. Moco -  Light Up My Love.mp3,ANI feat. Moco,Light Up My Love,,ANI feat Moco Light Up My Love,AHoY-354PSU,Silvermoon1k,[Cytus] ani feat. moco - Light Up My Love - short extension,,webm,opus,136.504,175,@Silvermoon1k,130768.0,False,55.23809523809523,57.04365079365079,92.53968253968254,85.15873015873015,True,1.0,
ASCA - Don’t leave me.mp3,ASCA,Don’t leave me,,ASCA Don’t leave me,nbS5Uc5dFio,ASCA Official YouTube Channel,Don't Leave Me,314.0,webm,opus,144.889,170,,7694.0,False,91.37931034482759,23.21428571428572,82.29166666666669,74.50738916256158,True,1.0,
ASCA - Hibari (1).mp3,ASCA,Hibari,,ASCA Hibari,7L1M7HLcpMw,ASCA Official YouTube Channel,"ASCA「雲雀」(Hibari) Fate Series - ロード・エルメロイⅡ世の事件簿 -魔眼蒐集列車- Grace note (""Lord El-Melloi II Case Files"")",278.0,webm,opus,140.445,290,@ascaSMEJ,1941164.0,False,91.37931034482759,90.27972027972028,90.41958041958043,53.47902097902098,True,1.0,
ASCA - Hibari.mp3,ASCA,Hibari,,ASCA Hibari,7L1M7HLcpMw,ASCA Official YouTube Channel,"ASCA「雲雀」(Hibari) Fate Series - ロード・エルメロイⅡ世の事件簿 -魔眼蒐集列車- Grace note (""Lord El-Melloi II Case Files"")",,webm,opus,140.445,325,@ascaSMEJ,1933224.0,True,91.37931034482759,90.27972027972028,90.41958041958043,52.87449392712551,True,1.0,
ASCA - Howling.mp3,ASCA,Howling,,ASCA Howling,Cf7piHkO_VU,ASCA Official YouTube Channel,ASCA 『Howling』Music Video（TVアニメ「#魔法科高校の劣等生  来訪者編」OPテーマ）#ASCA #mahouka #mahoukakoukounorettousei,,m4a,mp4a.40.2,129.496,370,@ascaSMEJ,4937654.0,False,91.37931034482759,90.27777777777779,90.48611111111111,74.98575498575498,True,1.0,
ASCA -  KOE.mp3,ASCA,KOE,,ASCA KOE,Ptoc7mV_AYk,ASCA Official YouTube Channel,"ASCA 「KOE」 Music Video FULL (Anime ""Fate Apocrypha"" ED)",,webm,opus,131.695,256,@ascaSMEJ,547055.0,False,91.37931034482759,90.66666666666666,90.5,73.14141414141413,True,1.0,
ASCA - Kono Melody Ni Nosete.mp3,ASCA,Kono Melody Ni Nosete,,ASCA Kono Melody Ni Nosete,y5CH23jwVHE,ASCA Official YouTube Channel,Kono Melody Ni Nosete,228.0,webm,opus,145.448,206,,16264.0,False,91.37931034482759,22.97619047619047,100.0,96.17647058823529,True,1.0,
ASCA - NO FAKE.mp3,ASCA,NO FAKE,,ASCA NO FAKE,Wu0VuMpwV6c,ASCA Official YouTube Channel,No Fake,171.0,m4a,mp4a.40.2,129.557,200,,25980.0,False,91.37931034482759,27.3469387755102,100.0,93.5,True,1.0,
ASCA -  RESISTER.mp3,ASCA,RESISTER,,ASCA RESISTER,RPZwWt6_unE,ASCA Official YouTube Channel,"ASCA 「RESISTER」 Music Video FULL (Anime ""Sword Art Online Alicization"" OP)",,m4a,mp4a.40.2,129.499,370,@ascaSMEJ,7661114.0,False,91.37931034482759,90.50632911392404,91.01265822784809,77.68030615248749,True,1.0,
ASCA - Rin.mp3,ASCA,Rin,,ASCA Rin,zOzy79zzEWA,ASCA Official YouTube Channel,"ASCA 『凛』- Rin - Music Video (Theme song for ""Record of Grancrest War"" グランクレスト戦記)",,m4a,mp4a.40.2,129.514,370,@ascaSMEJ,1045120.0,False,91.37931034482759,90.40816326530611,90.3061224489796,67.19727891156464,True,1.0,
ASCA _ 『ヴィラン』 てにをは　カバー.mp3,ASCA Official YouTube Channel,ASCA / 『ヴィラン』 てにをは　カバー,,ASCA Official YouTube Channel ASCA 『ヴィラン』 てにをは カバー,9CgLx45j-2E,ASCA Official YouTube Channel,ASCA / 『ヴィラン』 てにをは　カバー,,m4a,mp4a.40.2,129.499,346,@ascaSMEJ,303905.0,False,91.37931034482759,91.11111111111111,100.0,95.83333333333333,True,1.0,
ASCA 『カルペディエム』Music Video Full version（すばらしきこのせかい The Animation EDテーマ）.mp3,ASCA Official YouTube Channel,ASCA 『カルペディエム』Music Video Full version（すばらしきこのせかい The Animation EDテーマ）,,ASCA Official YouTube Channel ASCA 『カルペディエム』Music Video Full version すばらしきこのせかい The Animation EDテーマ,PZ7d28HV9Ew,ASCA Official YouTube Channel,ASCA 『カルペディエム』Music Video（すばらしきこのせかい The Animation EDテーマ）,,webm,opus,130.037,254,@ascaSMEJ,336017.0,False,91.37931034482759,90.48780487804878,82.99486521181001,82.56339048539,True,1.0,
ASCA 『光芒』×東京クロノス Music Video.mp3,ASCA Official YouTube Channel,ASCA 『光芒』×東京クロノス Music Video,,ASCA Official YouTube Channel ASCA 『光芒』×東京クロノス Music Video,Us6xmFJ71W0,ASCA Official YouTube Channel,"ASCA 『光芒』(Koubou) Music Video (VR Game""Tokyo Chronos"")",,webm,opus,135.295,285,@ascaSMEJ,146512.0,False,91.37931034482759,90.61538461538461,78.35543766578249,75.29950900163666,True,1.0,
ASCA 『凛』Music Video （「グランクレスト戦記」OPテーマ）.mp3,ASCA Official YouTube Channel,ASCA 『凛』Music Video （「グランクレスト戦記」OPテーマ）,,ASCA Official YouTube Channel ASCA 『凛』Music Video グランクレスト戦記 OPテーマ,zOzy79zzEWA,ASCA Official YouTube Channel,"ASCA 『凛』- Rin - Music Video (Theme song for ""Record of Grancrest War"" グランクレスト戦記)",,m4a,mp4a.40.2,129.514,290,@ascaSMEJ,1045120.0,True,91.37931034482759,90.40816326530611,58.18965517241379,55.6791569086651,True,1.0,
Don't Leave Me.mp3,ASCA Official YouTube Channel,Don't Leave Me,,ASCA Official YouTube Channel Don't Leave Me,nbS5Uc5dFio,ASCA Official YouTube Channel,Don't Leave Me,55.0,mhtml,none,0.0,149,@danobnascaperformances4485,368.0,True,91.37931034482759,23.21428571428572,100.0,97.0,True,1.0,
Gravity.mp3,ASCA Official YouTube Channel,Gravity,,ASCA Official YouTube Channel Gravity,6KzH3Iv710s,ASCA Official YouTube Channel,Gravity,279.0,webm,opus,135.108,205,,61265.0,False,91.37931034482759,27.3469387755102,100.0,95.38461538461537,True,1.0,
Hibari.mp3,ASCA Official YouTube Channel,Hibari,,ASCA Official YouTube Channel Hibari,7L1M7HLcpMw,ASCA Official YouTube Channel,"ASCA「雲雀」(Hibari) Fate Series - ロード・エルメロイⅡ世の事件簿 -魔眼蒐集列車- Grace note (""Lord El-Melloi II Case Files"")",278.0,webm,opus,140.445,246,@ascaSMEJ,1941366.0,True,91.37931034482759,90.27972027972028,90.41958041958043,60.55944055944056,True,1.0,
Kobo.mp3,ASCA Official YouTube Channel,Kobo,,ASCA Official YouTube Channel Kobo,Us6xmFJ71W0,ASCA Official YouTube Channel,"ASCA 『光芒』(Koubou) Music Video (VR Game""Tokyo Chronos"")",102.0,webm,opus,135.295,179,@ascaSMEJ,146556.0,True,91.37931034482759,90.61538461538461,67.96153846153845,54.92307692307692,True,1.0,
Kono Melody Ni Nosete.mp3,ASCA Official YouTube Channel,Kono Melody Ni Nosete,,ASCA Official YouTube Channel Kono Melody Ni Nosete,y5CH23jwVHE,ASCA Official YouTube Channel,Kono Melody Ni Nosete,251.0,webm,opus,139.949,111,@ascaSMEJ,14564.0,False,91.37931034482759,90.65573770491804,80.0936768149883,73.44262295081968,True,1.0,
